remote,station,boroname,neighborhood,postal,latitude,longitude
R322,SPRING STREET-LAFAYETTE ST,Manhattan,Greenwich Village and Soho,10012,40.722397,-73.997211
R323,111TH STREET-LENOX AVENUE,Manhattan,Central Harlem,10026,40.79911,-73.951807
R324,116TH STREET-LENOX AVENUE,Manhattan,Central Harlem,10026,40.802098,-73.949625
R325,WHITLOCK AVE-WESTCHESTER AV,Bronx,Hunts Point and Mott Haven,10459,40.826508,-73.886425
R326,ZEREGA AVE-WESTCHESTER AVE,Bronx,Southeast Bronx,10462,40.83646,-73.846471
R327,52ND STREET-ROOSEVELT AVE,Queens,West Queens,11377,40.744103,-73.912497
R328,WILLETS PT BLVD-ROOSEVELT,Queens,West Queens,11368,40.754622,-73.845625
R329,MORRIS PARK-PAULDING AVENUE,Bronx,Southeast Bronx,10462,40.854137,-73.860977
R330,3RD AVENUE-14TH STREET,Manhattan,Lower East Side,10003,40.733243,-73.987169
R561,SBS-M86 @ LIVINGSTON PLAZA,,,,,
R001,WHITEHALL STREET,Manhattan,Lower Manhattan,10004,40.703082,-74.012983
R003,CYPRESS HILLS,Brooklyn,East New York and New Lots,11208,40.689945,-73.872564
R004,75TH STREET & ELDERTS LANE,Queens,Southwest Queens,11421,40.69132,-73.867135
R005,85TH STREET & FOREST PKWAY,Queens,Southwest Queens,11421,40.692304,-73.860151
R006,WOODHAVEN BOULEVARD,Queens,Southwest Queens,11421,40.693866,-73.851568
R007,104TH STREET,Queens,Southwest Queens,11418,40.695184,-73.844326
R008,111TH STREET,Queens,Southwest Queens,11418,40.697405,-73.836354
R009,121ST STREET,Queens,Southwest Queens,11418,40.700536,-73.828382
R010,42ND STREET & 8TH AVENUE,Manhattan,Chelsea and Clinton,10036,40.757303,-73.989787
R011,42ND STREET & 8TH AVENUE,Manhattan,Chelsea and Clinton,10036,40.757303,-73.989787
R012,34TH STREET & 8TH AVENUE,Manhattan,Chelsea and Clinton,10001,40.752247,-73.993456
R013,34TH STREET & 8TH AVENUE,Manhattan,Chelsea and Clinton,10001,40.752247,-73.993456
R014,FULTON STREET,Manhattan,Lower Manhattan,10038,40.709938,-74.007983
R015,FIFTH AVENUE,Manhattan,Gramercy Park and Murray Hill,10022,40.760179,-73.975196
R016,LEXINGTON AVENUE,Manhattan,Gramercy Park and Murray Hill,10022,40.75753,-73.969102
R017,LEXINGTON AVENUE,Manhattan,Gramercy Park and Murray Hill,10022,40.75753,-73.969102
R018,ROOSEVELT AVE/JACKSON HTS,Queens,West Queens,11373,40.746655,-73.891361
R019,179TH STREET & HILLSIDE AVE,Queens,Jamaica,11432,40.712622,-73.783815
R020,47-50 STREETS/ROCKEFELLER,Manhattan,Chelsea and Clinton,10020,40.758652,-73.981311
R021,42ND STREET & 6TH AVENUE,Manhattan,Chelsea and Clinton,10018,40.754198,-73.984573
R022,34TH STREET & 6TH AVENUE,Manhattan,Chelsea and Clinton,10001,40.749533,-73.987899
R475,GRAND AVENUE DEPOT,,,,,
R331,155TH STREET-ST NICHOLAS AV,Manhattan,Inwood and Washington Heights,10032,40.830551,-73.941486
