"REMOTE","STATION","date","weeknumber","Total_2020","Total_2019"
"R345","148TH STREET-LENOX AVENUE     ",2020-01-04,"01",14980,15347
"R346","COURT SQ                      ",2020-01-04,"01",17612,24915
"R347","69TH STREET-ROOSEVELT AVE     ",2020-01-04,"01",25567,23239
"R348","ATLANTIC AV-VAN SINDEREN AV   ",2020-01-04,"01",5590,6538
"R349","SUTTER AVE-VAN SINDEREN AVE   ",2020-01-04,"01",13993,15744
"R350","LIVONIA AVE-VAN SINDEREN AV   ",2020-01-04,"01",11321,12264
"R352","HEWES STREET-BROADWAY         ",2020-01-04,"01",14175,9832
"R353","LORIMER STREET-BROADWAY       ",2020-01-04,"01",23061,17607
"R354","104TH STREET-LIBERTY AVENUE   ",2020-01-04,"01",6063,7502
"R355","109TH STREET-LIBERTY AVENUE   ",2020-01-04,"01",7421,9167
"R356","LEFFERTS BLVD-LIBERTY AVE     ",2020-01-04,"01",21097,27913
"R357","NORTH CONDUIT AVE-COHANCEY    ",2020-01-04,"01",3155,3509
"R358","BEACH 25TH STREET-WAVECREST   ",2020-01-04,"01",6684,7065
"R359","COURT SQ-23 ST                ",2020-01-04,"01",54130,42693
"R360","21ST STREET-JACKSON AVENUE    ",2020-01-04,"01",5792,4147
"R361","PELHAM PKWY-WHITE PLAINS RD   ",2020-01-04,"01",35746,34659
"R362","ALLERTON AV-WHITE PLAINS RD   ",2020-01-04,"01",22776,22616
